DeployID,County,DeployDate,DeploymentName,Description,PrimaryMaterial,Tons,Relief,Depth,Jurisdiction,Coast,LatDM,LongDM,latitudes,longitudes,LocationAccuracy
BA0323,Bay,06/26/2014,BC2014-Set#16,1 Walter Limestone Unit & 1 Grouper With 3 Layer Ecosystem On Top  16 of 16 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),8,8,77,State,Gulf,30° 10.108' N,85° 54.730' W,30.16846667,-85.91216667,High
BA0322,Bay,06/26/2014,BC2014-Set#15,1 Walter Limestone Unit & 1 Grouper With 3 Layer Ecosystem On Top  15 of 16 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),8,8,77,State,Gulf,30° 10.191' N,85° 54.724' W,30.16985,-85.91206667,High
BA0321,Bay,06/26/2014,BC2014-Set#14,1 Walter Limestone Unit & 1 Grouper With 3 Layer Ecosystem On Top  14 of 16 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),8,8,77,State,Gulf,30° 10.270' N,85° 54.724' W,30.17116667,-85.91206667,High
BA0320,Bay,06/26/2014,BC2014-Set#13,1 Walter Limestone Unit & 1 Grouper With 3 Layer Ecosystem On Top  13 of 16 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),8,8,77,State,Gulf,30° 10.107' N,85° 54.627' W,30.16845,-85.91045,High
BA0319,Bay,06/26/2014,BC2014-Set#12,1 Walter Limestone Unit & 1 Grouper With 3 Layer Ecosystem On Top  12 of 16 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),8,8,77,State,Gulf,30° 10.273' N,85° 54.626' W,30.17121667,-85.91043333,High
BA0318,Bay,06/26/2014,BC2014-Set#11,1 Walter Limestone Unit & 1 Grouper With 3 Layer Ecosystem On Top  11 of 16 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),8,8,77,State,Gulf,30° 10.109' N,85° 54.523' W,30.16848333,-85.90871667,High
BA0317,Bay,06/26/2014,BC2014-Set#10,1 Walter Limestone Unit & 1 Grouper With 3 Layer Ecosystem On Top  10 of 16 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),8,8,77,State,Gulf,30° 10.192' N,85° 54.521' W,30.16986667,-85.90868333,High
BA0316,Bay,06/26/2014,BC2014-Set#9,1 Walter Limestone Unit & 1 Grouper With 3 Layer Ecosystem On Top  9 of 16 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),8,8,72,State,Gulf,30° 10.274' N,85° 54.520' W,30.17123333,-85.90866667,High
BA0315,Bay,06/26/2014,BC2014-Set#8,1 Walter Limestone Unit & 1 Grouper With 3 Layer Ecosystem On Top  8 of 16 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),8,8,72,State,Gulf,30° 8.508' N,85° 51.925' W,30.1418,-85.86541667,High
BA0314,Bay,06/26/2014,BC2014-Set#7,1 Walter Limestone Unit & 1 Grouper With 3 Layer Ecosystem On Top  7 of 16 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),8,8,72,State,Gulf,30° 8.590' N,85° 51.925' W,30.14316667,-85.86541667,High
BA0313,Bay,06/26/2014,BC2014-Set#6,1 Walter Limestone Unit & 1 Grouper With 3 Layer Ecosystem On Top  6 of 16 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),8,8,72,State,Gulf,30° 8.675' N,85° 51.927' W,30.14458333,-85.86545,High
BA0312,Bay,06/26/2014,BC2014-Set#5,1 Walter Limestone Unit & 1 Grouper With 3 Layer Ecosystem On Top  5 of 16 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),8,8,72,State,Gulf,30° 8.506' N,85° 51.822' W,30.14176667,-85.8637,High
BA0311,Bay,06/26/2014,BC2014-Set#4,1 Walter Limestone Unit & 1 Grouper With 3 Layer Ecosystem On Top  4 of 16 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),8,8,72,State,Gulf,30° 8.674' N,85° 51.822' W,30.14456667,-85.8637,High
BA0310,Bay,06/26/2014,BC2014-Set#3,1 Walter Limestone Unit & 1 Grouper With 3 Layer Ecosystem On Top  3 of 16 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),8,8,72,State,Gulf,30° 8.505' N,85° 51.726' W,30.14175,-85.8621,High
BA0309,Bay,06/26/2014,BC2014-Set#2,1 Walter Limestone Unit & 1 Grouper With 3 Layer Ecosystem On Top  2 of 16 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),8,8,72,State,Gulf,30° 8.590' N,85° 51.724' W,30.14316667,-85.86206667,High
BA0308,Bay,06/26/2014,BC2014-Set#1,1 Walter Limestone Unit & 1 Grouper With 3 Layer Ecosystem On Top  1 of 16 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),8,8,72,State,Gulf,30° 8.667' N,85° 51.719' W,30.14445,-85.86198333,High
BA0307,Bay,02/28/2014,Concrete Anchors,Concrete Blocks And Poles From Pier On Navy Base ,CONCRETE POLES AND CUBES,144,3,74,State,Gulf,30° 8.590' N,85° 51.825' W,30.14317,-85.86375,High
BA0306,Bay,04/01/2014,MB-149 Unnamed,1 Walter Limestone Super Reef W/Ecosystem Discs On Top  16 of 20 Drops This Grant,MODULES CONCRETE WALTER SUPER REEF W/ ECOSYSTEM DISCS (1),18,17,84,Federal,Gulf,29° 46.368' N,85° 36.155' W,29.7728,-85.60258333,High
BA0305,Bay,04/01/2014,MB-151 Unnamed,2 Walter Limestone Super Reefs: 1 W/Ecosystem Discs  1W/ Steeple On Top  15 of 20 Drops This Grant,MODULES CONCRETE WALTER SUPER REEF W/ ECOSYSTEM DISCS (1),38,25,87,Federal,Gulf,29° 45.873' N,85° 36.453' W,29.76455,-85.60755,High
BA0304,Bay,04/01/2014,MB-160 Unnamed,3 Walter Limestone Super Reefs: 1 W/Ecosystem Discs  1W/ Steeple On Top  14 of 20 Drops This Grant,MODULES CONCRETE WALTER SUPER REEF W/ ECOSYSTEM DISCS (2),56,25,96,Federal,Gulf,29° 43.960' N,85° 40.509' W,29.73266667,-85.67515,High
BA0303,Bay,04/01/2014,MB-159 Unnamed,2 Walter Limestone Super Reefs: 1 W/Ecosystem Discs  1W/ Steeple On Top  13 of 20 Drops This Grant,MODULES CONCRETE WALTER SUPER REEF W/ ECOSYSTEM DISCS (1),38,25,104,Federal,Gulf,29° 44.058' N,85° 42.492' W,29.7343,-85.7082,High
BA0302,Bay,04/01/2014,MB-158 Unnamed,1 Walter Limestone Super Reef With Ecosystem Discs On Top  12 of 20 Drops This Grant,MODULES CONCRETE WALTER SUPER REEF W/ ECOSYSTEM DISCS (1),18,17,96,Federal,Gulf,29° 46.510' N,85° 42.176' W,29.77516667,-85.70293333,High
BA0301,Bay,04/01/2014,MB-157 Unnamed,1 Walter Limestone Super Reef With Steeple On Top  11 of 20 Drops This Grant,MODULES CONCRETE WALTER SUPER REEF W/ STEEPLE (1),20,25,93,Federal,Gulf,29° 47.062' N,85° 42.360' W,29.78436667,-85.706,High
BA0300,Bay,03/31/2014,MB-156 Unnamed,4 Walter Limestone Units & 1 Grouper With 3 Layer Ecosystem On Top  10 of 20 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (4),15,8,96,Federal,Gulf,29° 47.216' N,85° 42.483' W,29.78693333,-85.70805,High
BA0299,Bay,03/31/2014,MB-155 Unnamed,2 Walter Limestone Units & 1 Grouper With 3 Layer Ecosystem On Top  9 of 20 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),9,8,97,Federal,Gulf,29° 47.079' N,85° 42.559' W,29.78465,-85.70931667,High
BA0298,Bay,03/31/2014,MB-154 Unnamed,5 Walter Limestone Units & 1 Grouper With 3 Layer Ecosystem On Top 8 of 20 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (5),18,8,98,Federal,Gulf,29° 46.649' N,85° 42.547' W,29.77748333,-85.70911667,High
BA0297,Bay,03/31/2014,MB-153 Unnamed,2 Walter Limestone Units & 1 Grouper With 3 Layer Ecosystem On Top  7 of 20 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),9,8,91,Federal,Gulf,29° 46.038' N,85° 36.948' W,29.7673,-85.6158,High
BA0296,Bay,03/31/2014,MB-152 Unnamed,2 Walter Limestone Units & 1 Grouper With 3 Layer Ecosystem On Top  6 of 20 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),9,8,89,Federal,Gulf,29° 45.632' N,85° 36.965' W,29.76053333,-85.61608333,High
BA0295,Bay,03/31/2014,MB-150 Unnamed,4 Walter Limestone Units & 1 Grouper With 3 Layer Ecosystem On Top  5 of 20 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (4),15,8,86,Federal,Gulf,29° 45.864' N,85° 36.178' W,29.7644,-85.60296667,High
BA0294,Bay,03/31/2014,MB-112 Candi Daniel Memorial Reef,1 Walter Limestone Unit  4 of 20 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),3,8,58,State,Gulf,29° 43.695' N,85° 28.275' W,29.72825,-85.47125,High
BA0293,Bay,03/31/2014,MB-141 John Thompson Reef,1 Walter Limestone Unit  1 Ecosystem Reef On  Grouper Units  1 Metal Fl Special 3 of 20 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),9,10,22,State,Gulf,29° 54.168' N,85° 27.972' W,29.9028,-85.4662,High
BA0292,Bay,03/31/2014,MB-148 Unnamed,4 Walter Limestone Units  2 Ecosystem Reef On  Grouper Units  2 of 20 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (4),18,8,19,State,Gulf,29° 56.490' N,85° 29.409' W,29.9415,-85.49015,High
BA0291,Bay,03/31/2014,MB-147 Unnamed,4 Walter Limestone Units  2 Ecosystem Reef On  Grouper Units  1 of 20 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (4),18,8,22,State,Gulf,29° 56.408' N,85° 29.650' W,29.94013333,-85.49416667,High
BA0290,Bay,08/01/1994,Deep Pipe Barge,Steel Barge 110 X 30 X 4 Ft With 40 Culverts Nearby,BARGE METAL 110',,4,100,Federal,Gulf,29° 56.293' N,85° 54.394' W,29.93822,-85.90657,High
BA0289,Bay,02/07/2007,Big Bend Saltwater Classic Reef ,25 Walter Coqunia Florida Special Units  Funded By Oar,MODULES CONCRETE WALTER FLORIDA LIMESTONE (25),63,10,143,Federal,Gulf,29° 37.996' N,85° 58.968' W,29.63327,-85.9828,High
BA0288,Bay,04/06/2013,MB-141 John Thompson Reef,2 Walter Limestone Units    15 of 15 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),6,8,22,State,Gulf,29° 54.168' N,85° 27.972' W,29.9028,-85.4662,High
BA0287,Bay,04/06/2013,MB-142 Unnamed,5 Walter Limestone Units 2 Ecosystem Reef On Base & 1 Grouper Units  14 of 15 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (5),22,8,20,State,Gulf,29° 56.103' N,85° 29.053' W,29.93505,-85.48421667,High
BA0286,Bay,04/06/2013,MB-143 Unnamed,6 Walter Limestone Units 2 Ecosystem Reef On Base & 1 Grouper Units  13 of 15 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (6),25,8,22,State,Gulf,29° 56.308' N,85° 29.877' W,29.93846667,-85.49795,High
BA0285,Bay,04/06/2013,MB-144 Unnamed,3 Walter Limestone Units  2 Ecosystem Reef On Base & 2 Grouper Units  12 of 15 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (3),20,8,95,Federal,Gulf,29° 46.496' N,85° 41.876' W,29.77493333,-85.69793333,High
BA0284,Bay,04/06/2013,MB-145 Unnamed,2 Walter Limestone Units  2 Ecosystem Reef On Base & 2 Grouper Units  11 of 15 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),17,8,98,Federal,Gulf,29° 46.504' N,85° 42.663' W,29.77506667,-85.71105,High
BA0283,Bay,04/06/2013,MB-146 Unnamed,2 Walter Limestone Units & 1 Grouper With 3 Layer Ecosystem On Top  10 of 15 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),8,8,91,Federal,Gulf,29° 46.995' N,85° 41.666' W,29.78325,-85.69443333,High
BA0282,Bay,04/06/2013,MB-21 Unnamed ,3 Walter Limestone Units & 1 Grouper With 3 Layer Ecosystem On Top  9 of 15 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (3),13,8,87,Federal,Gulf,29° 46.537' N,85° 36.426' W,29.77561667,-85.6071,High
BA0281,Bay,04/06/2013,MB-24 Unnamed,3 Walter Limestone Units 2 Ecosystem Reef On Base & 1 Grouper Units  8 of 15 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (3),17,8,87,Federal,Gulf,29° 46.097' N,85° 35.932' W,29.76828333,-85.59886667,High
BA0280,Bay,04/06/2013,MB-29 Unnamed,2 Walter Limestone Units 2 Ecosystem Reef On Base & 1 Grouper Units  7 of 15 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),14,8,87,Federal,Gulf,29° 45.656' N,85° 36.713' W,29.76093333,-85.61188333,High
BA0279,Bay,04/06/2013,MB-31 Gingers Reef  ,1 Walter Limestone Unit    6 of 15 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),3,8,58,State,Gulf,29° 54.290' N,85° 32.222' W,29.90483333,-85.53703333,High
BA0278,Bay,04/06/2013,MB-35 Earl Nichols Reef ,1 Walter Limestone Unit    5 of 15 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),3,8,58,State,Gulf,29° 54.116' N,85° 32.179' W,29.90193333,-85.53631667,High
BA0277,Bay,04/06/2013,MB-38 Nicoles'S Reef ,1 Walter Limestone Unit    4 of 15 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),3,8,59,State,Gulf,29° 54.119' N,85° 32.284' W,29.90198333,-85.53806667,High
