,region,value
1,alabama,49
2,alaska,1
3,arizona,16
4,arkansas,49
5,california,82
6,colorado,36
7,connecticut,5
8,delaware,2
9,district of columbia,0
10,florida,48
11,georgia,47
12,hawaii,8
13,idaho,26
14,illinois,76
15,indiana,62
16,iowa,92
17,kansas,66
18,kentucky,86
19,louisiana,30
20,maine,8
21,maryland,13
22,massachusetts,8
23,michigan,55
24,minnesota,81
25,mississippi,42
26,missouri,108
27,montana,29
28,nebraska,47
29,nevada,3
30,new hampshire,4
31,new jersey,10
32,new mexico,21
33,new york,36
34,north carolina,52
35,north dakota,32
36,ohio,75
37,oklahoma,87
38,oregon,39
39,pennsylvania,63
40,rhode island,1
41,south carolina,27
42,south dakota,32
43,tennessee,78
44,texas,248
45,utah,17
46,vermont,7
47,virginia,47
48,washington,40
49,west virginia,23
50,wisconsin,78
51,wyoming,11
