STATEFP,value
alabama,9
alaska,1
arizona,26
arkansas,14
california,25
colorado,31
connecticut,0
delaware,0
district of columbia,0
florida,9
georgia,10
hawaii,1
idaho,11
illinois,27
indiana,15
iowa,31
kansas,46
kentucky,14
louisiana,8
maine,1
maryland,2
massachusetts,1
michigan,10
minnesota,27
mississippi,11
missouri,29
montana,61
nebraska,46
nevada,6
new hampshire,0
new jersey,1
new mexico,43
new york,7
north carolina,9
north dakota,40
ohio,14
oklahoma,35
oregon,16
pennsylvania,8
rhode island,0
south carolina,5
south dakota,44
tennessee,11
texas,130
utah,11
vermont,1
virginia,8
washington,15
west virginia,4
wisconsin,15
wyoming,30
